ticker,dir,action,price,effect
KXNCAAMBGAME-26FEB10HOUUTAH-UTAH,no,open,0.95,0
KXNCAAWBGAME-26FEB10MOHWMU-WMU,no,open,0.95,0
KXNCAAMBGAME-26FEB10WSUGONZ-GONZ,yes,open,0.96,0
KXNCAAMBGAME-26FEB10FRESUSU-USU,yes,open,0.96,0
KXNCAAMBGAME-26FEB10DUKEPITT-PITT,no,open,0.96,0
KXNCAAWBGAME-26FEB10EIUWIU-WIU,yes,open,0.96,0
KXNCAAWBGAME-26FEB10BALLEMU-EMU,no,open,0.95,0
KXNCAAWBGAME-26FEB10MASSNIU-NIU,no,open,0.95,0
KXNCAAWBGAME-26FEB10BUFFBGSU-BGSU,yes,open,0.95,0
KXNCAAWBGAME-26FEB10ARIZCIN-CIN,yes,open,0.95,0
KXNCAAMBGAME-26FEB10GMURICH-RICH,yes,open,0.95,0
KXNCAAWBGAME-26FEB10EIUWIU-WIU,yes,close,1,0.04
KXNCAAMBGAME-26FEB10URIGW-GW,yes,open,0.95,0
KXNCAAWBGAME-26FEB01MERETSU-ETSU,no,open,0.97,0
KXNCAAWBGAME-26FEB01MERETSU-ETSU,no,close,0.76,-0.21
KXNCAAMBGAME-26FEB10PURNEB-NEB,no,open,0.97,0
KXNCAAMBGAME-26FEB10URIGW-GW,yes,close,0.78,-0.17
KXNCAAWBGAME-26FEB10BALLEMU-EMU,no,close,1,0.05
KXNCAAMBGAME-26FEB10MILWIUIN-IUIN,no,open,0.95,0
KXNCAAWBGAME-26FEB10ARIZCIN-CIN,yes,close,1,0.05
KXNCAAMBGAME-26FEB10NDSMU-SMU,yes,open,0.95,0
KXNCAAMBGAME-26FEB10PURNEB-NEB,no,close,0.75,-0.22
KXNCAAMBGAME-26FEB10VANAUB-AUB,no,open,0.95,0
KXNCAAWBGAME-26FEB10MEMUAB-UAB,yes,open,0.96,0
KXNCAAMBGAME-26FEB10URIGW-GW,yes,open,0.95,0
KXNCAAMBGAME-26FEB10MILWIUIN-IUIN,no,close,1,0.05
KXNCAAMBGAME-26FEB10BYUBAY-BAY,no,open,0.95,0
